Timestamp,Voltage (V),Current (A),Power Consumption (kW),Reactive Power (kVAR),Power Factor,Solar Power (kW),Wind Power (kW),Grid Supply (kW),Voltage Fluctuation (%),Temperature (°C),Humidity (%),Electricity Price (USD/kWh),Predicted Load (kW)
2024-01-01,229.44206491604578,23.274581040432988,5.3381704883510075,1.335934399594571,0.9045759837284885,24.128361949350776,15.6148699694414,0.0444201379885407,-0.005501783344353764,24.458244605128755,49.93136174657534,0.30719587372482215,5.341408896053729
2024-01-02,230.25240631334097,27.59001554141859,6.355896714970833,1.5470244280385366,0.902830851236654,25.20587349572585,13.58593245987747,0.042495497930903285,-0.3367572806654234,25.281131880866898,47.59260889290605,0.3009843579673177,6.339774686410972
2024-01-03,230.13909801670056,26.61665149041927,6.113400268177126,1.5609152347090278,0.8988128725061998,22.72501182441873,14.149719319666017,0.007980588200164673,-0.02710445920037006,25.28683441345392,46.656764372925664,0.2968409403038949,6.09611643367241
2024-01-04,230.4506873884708,28.1096676627408,6.483036200635213,1.5806613212363239,0.9054916383642673,24.628754000961447,16.369280179938382,0.028227999369392947,-0.22722421265948325,26.0251391267664,51.25887157207466,0.31924267179133997,6.495921716452812
2024-01-05,230.13133164947442,26.53208412567716,6.102768683646829,1.5260278882584517,0.9020279950172112,23.925562342396038,15.26257968675146,0.05930615686049332,-0.16192321431296994,24.72986935363068,49.90940254354862,0.29636302309383517,6.122498728342806
2024-01-06,229.04673100187037,25.489158959772126,5.830645761179361,1.378256886687231,0.8927594648787393,24.613425970027208,16.825859067241954,0.0,-0.048849806616275145,25.91823585777432,48.55061865434332,0.2863251676744791,5.881918267024413
2024-01-07,230.24231588147074,28.811768809604043,6.639381095860801,1.6215602641431612,0.8993560182949635,24.577911661943077,13.867825746965304,0.030594839830430275,0.02814039364363372,26.726994591362864,45.82791077213105,0.28717206023837183,6.631669334586263
2024-01-08,229.8153091120724,29.16109832569406,6.7077935674559095,1.7835301137945228,0.9002117800619399,24.498581342281224,14.358028837168241,0.0,0.28936085994051464,25.936513021796696,53.64888176062024,0.31059546433170754,6.6873619232204184
2024-01-09,230.57051747732422,25.400123029702456,5.859598526049371,1.4983776664339368,0.9054795741167432,24.027566492388658,15.173860432139563,0.0624285256613305,0.02630362153653255,24.253448225742215,52.18718849507843,0.28870666708945764,5.868464893072896
2024-01-10,231.0676111713412,28.26880153852191,6.5252609274260065,1.771164641045437,0.9079470024089772,26.582390156120173,14.971905923786915,0.03229391743808857,0.14775122356768744,24.217653282717887,53.00021663091391,0.29761028398532374,6.526141979255994
2024-01-11,230.6644666354714,30.372059643455035,6.993871030591026,1.698632077655023,0.8934996280835584,27.391492442383765,15.222910610859161,0.10094910370589848,-0.4559811380333028,24.604267434084946,47.97220096930176,0.3029969247233901,7.023919391191741
2024-01-12,230.5037735797459,25.70802648711222,5.923713541076278,1.5678019240166303,0.8887679573085644,27.200935477940632,15.521384241769693,0.0743848099443857,-0.10169635316906496,26.09109811149803,51.3474832625274,0.2815384639452065,5.8939880973998795
2024-01-13,230.19754967144976,28.125579039639998,6.465936748850669,1.6390376262463902,0.8957118647026238,24.543241676042438,14.890519240231972,0.05126929944289177,0.06273055803196209,25.387266829490173,48.79462152190907,0.2936192165187,6.430284387621164
2024-01-14,230.20539578573207,27.960347842979818,6.431009064887981,1.5420911910071018,0.9096678178165368,27.22475236258056,15.201970460110394,0.0,-0.1989507762536137,24.51603274560047,49.91473343574304,0.30694855796779513,6.428275415605774
2024-01-15,230.25905795480097,28.037775747587755,6.462067626561287,1.6086347362714895,0.8921362536692468,25.349603738696743,13.87355545858474,0.024294437939861482,-0.15622290804529473,23.048485958984326,51.79100448543452,0.3133238614510661,6.485239681198604
